Código proyecto,Nombre proyecto,Cliente,Industria,Categoría principal,Participantes,Tags,Contraparte,Cargo contraparte,Fecha Inicio,Fecha término,Resumen proyecto,Link,Modificado por,Creado,Modificado,Encargado de proyecto N°1 (Creador Proyecto/Modificador PREZ Antiguo),Encargado de proyecto N°2 (Participante Antiguo),Encargado de proyecto N°3 (Modificador PREZ reciente)
ARA09,Potenciando el talento,Arauco,RR Naturales,Sistema organizacional,"[""Alejandra Loyola"",""Alejandra Soto"",""Pablo Guarda"",""Juan Pablo Arriagada""]","[""Capacitación"",""Engagement"",""Modelo de talento"",""Coaching"",""Reclutamiento"",""Compensaciones"",""Desarrollo de carrera"",""Descriptor de cargo"",""Dinámica de equipo"",""Equipos de alto desempeño"",""Onboarding""]",Carolina Demangel,Jefe de Proyectos para el Negocio de Celulosa,6/10/2019,8/2/2019,"Potenciar el talento en las plantas de celulosa a través del diseño de un paquete motivante que permita atraer candidatos idóneos y del diseño de un proceso de selección de candidatos, que incluye distintas actividades",/sites/Proyectos-TheHouse/Documentos compartidos/Arauco/ARA09 - Potenciando el Talento,Josue Meneses,10/8/2024 11:41 AM,7/23/2026 7:28 AM,,Alejandra Loyola Schmidt,
ARA11,Hoja de ruta Gerencia de Finanzas,Arauco,Recursos naturales,Estrategia,"[""José Miguel Sepúlveda"",""Alfonso Undurraga"",""Francisco Santa Cruz"",""María Ignacia Phillips"",""Loredanna Celleri""]","[""Definiciones estratégicas"",""Focos estratégicos"",""Dinámica de equipo"",""Socio estratégico"",""Diagnostico"",""Implementación de sistemas"",""Iniciativas estratégicas"",""Planificación estratégica"",""Propósito""]",Gianfranco Truffello,Gerente corporativo de finanzas,22/3/2021,5/5/2021,"Generación de una Hoja de ruta común para la Gerencia Corporativa de Finanzas que integrara los planes estratégicos de sus áreas (Tesorería, Contabilidad, Gestión y Estudios, Impuestos, Compras e Informática)",/sites/Proyectos-TheHouse/Documentos compartidos/Arauco/ARA11 - Hoja de ruta Gerencia Corporativa de Finanzas,Josue Meneses,10/8/2024 11:41 AM,7/23/2026 7:30 AM,Alfonso Undurraga Bordeu,Alfonso Undurraga Bordeu,
ARA12,Estructura y hoja de ruta para la Gerencia de Personas y Sustentabilidad,Arauco,Recursos naturales,Sistema organizacional,"[""Felipe Zorzano"",""Jorge Vásquez"",""Pablo Murillo"",""José Miguel Sepúlveda"",""Alejandra Loyola"",""Nicolás Díaz"",""Josefina Guridi"",""Sebastián Cifuentes"",""Ángela Garafulic"",""Honorino Landa""]","[""Alineamiento ejecutivo"",""Benchmark"",""Definiciones estratégicas"",""Derco"",""Descriptor de cargo"",""Estructura"",""Focos estratégicos"",""Coaching"",""Comités"",""KPIs"",""Mapeo de stakeholders"",""Planificación estratégica"",""Prioridades estratégicas"",""Cultura organizacional"",""Diagnostico"",""Iniciativas estratégicas"",""Levantamiento de agenda"",""Mejores practicas"",""Propósito"",""Socio estratégico"",""RACI"",""Roadmap""]",Charles Kimber,Gerente Personas y Sustentabilidad,9/2/2022,17/1/2023,Diseño de la nueva estructura para la Gerencia de Personas y Sustentabilidad dados los cambios en los reportes directos del Gerente y desarrollo de la estrategia que permitiese generar mayor valor como Gerencia de apoyo }a los negocios y países,/sites/Proyectos-TheHouse/Documentos compartidos/Arauco/ARA12 - Estructura y hoja de ruta para Gerencia de Personas y Sustentabilidad,Josue Meneses,10/8/2024 11:41 AM,7/23/2026 7:31 AM,Sebastián Cifuentes,Sebastián Cifuentes,
BHP05,Alineamiento a la Estrategia de Ejecución Proyecto SGO,BHP,Minería,Desarrollo de equipo ejecutivo,"[""Patricia Graber"",""Alfonso Undurraga"",""Alejandra Loyola"",""Pablo González"",""Pablo Cruz"",""Olivia Sanchez"",""Juan Diego Covarrubias"",""Daniel Coelho"",""Alejandra Soto"",""Victor Alastuey""]","[""Alineamiento ejecutivo"",""Coaching"",""Comités"",""Cultura organizacional"",""Desarrollo ejecutivo"",""Derco"",""Eneagrama"",""Engagement"",""Diagnostico"",""Dinámica de equipo"",""Equipos de alto desempeño"",""Estructura"",""Evaluación 360°"",""Liderazgo"",""Plan de comunicación"",""Integración"",""Modelo de gobierno"",""Propósito"",""Plan de implementación""]",Mariela Ibacache,S. Project Delivery Integration,3/1/2018,30/1/2019,"Acompañar al Owner’s Team con foco en los Area Managers del proyecto SGO, alineándolos a la estrategia y fortaleciendo sus habilidades de liderazgo y coordinación",/sites/Proyectos-TheHouse/Documentos compartidos/BHP/BHP05 - Alineamiento a la Estrategia de Ejecución Proyecto SGO,Josue Meneses,10/8/2024 11:41 AM,8/20/2026 7:18 AM,Mariana  Hernandez Eyquem,Alfonso Undurraga Bordeu,Florencia Santa Cruz
BHP06,Taller de equipo Project Services,BHP,Minería,Desarrollo de equipo ejecutivo,"[""Alejandra Loyola"",""Victor Alastuey"",""Patricia Graber"",""Juan Ignacio Castro""]","[""Engagement"",""Dinámica de equipo"",""Comités"",""Liderazgo"",""Seguimiento"",""Cultura organizacional"",""Desarrollo ejecutivo"",""Encuesta de clima"",""Equipos de alto desempeño"",""Propósito"",""RACI""]",Alejandra Escobar,Project services manager,7/3/2018,27/7/2018,"Se realizó un taller de equipo para potenciar la comunicación, coordinación y confianza en el equipo de project services. Para esto se entrevistó a los principales ejecutivos de BHP y del IC y se realizó una encuesta online para obtener la percepción",/sites/Proyectos-TheHouse/Documentos compartidos/BHP/BHP06 - Taller Alineamiento equipo project services,Josue Meneses,10/8/2024 11:41 AM,7/23/2026 9:11 AM,Elisa  Robinson,Alejandra Loyola Schmidt,
BHP07,Taller Construcción,BHP,Minería,Desarrollo de equipo ejecutivo,"[""Alejandra Loyola"",""Victor Alastuey"",""Olivia Sanchez""]","[""Liderazgo"",""Equipos de alto desempeño"",""Cultura organizacional"",""Alineamiento ejecutivo"",""Dinámica de equipo"",""Diagnostico""]",Daniel Viotti,Construction Manager SGO,16/8/2018,3/9/2018,"Desarrollar un taller de alineamiento para los dos turnos de construcción en terreno, en conjunto con los managers involucrados. El taller pretendía alinear a los turnos respecto a cómo realizar tareas y coordinarse entre ellos.",/sites/Proyectos-TheHouse/Documentos compartidos/BHP/BHP07 - Taller Construcción,Josue Meneses,10/8/2024 11:41 AM,7/23/2026 6:48 AM,,Alejandra Loyola Schmidt,
BHP08,Análisis de tendencias Corporate Affairs 2030,BHP,Minería,Estrategia,"[""Nicolás Díaz"",""Olivia Sanchez"",""José Miguel Sepúlveda""]","[""Benchmark"",""Asuntos corporativos"",""Socio estratégico"",""Planificación estratégica"",""Mejores practicas"",""Diagnostico"",""Definiciones estratégicas""]",Cecilia Azar,"A&I Manager, External Affairs, Ops Americas",9/3/2018,24/10/2018,"Estudiar y entender los riesgos, oportunidades y tendencias emergentes relacionados a la minería del cobre en Chile, Perú, Ecuador y una mirada global, en el corto y mediano plazo. Además, identificar mejores prácticas en Corporate Affairs",/sites/Proyectos-TheHouse/Documentos compartidos/BHP/BHP08 - Análisis CA2030,Josue Meneses,10/8/2024 11:41 AM,7/23/2026 6:49 AM,,Jose Miguel Sepúlveda Donoso,
BHP10,Taller WP02,BHP,Minería,Desarrollo de equipo ejecutivo,"[""Alfonso Undurraga"",""Alejandra Loyola"",""Alejandra Soto"",""Pablo González"",""Loredanna Celleri"",""Juan Diego Covarrubias""]","[""Integración"",""Alineamiento ejecutivo""]",Jean Piere Fouere,Area Manager SGO,17/9/2018,6/12/2019,"Taller de alineamiento ejecutivo, con el objetivo de comprometer plazos y recursos para el cumplimiento del roadmap. El proyecto inicio en sep. 2018 con contraparte V. Lucia, siendo cancelado hasta abril del 2019 y con nueva contraparte Jean Piere Fouere",/sites/Proyectos-TheHouse/Documentos compartidos/BHP/BHP10 - Taller WP02,Josue Meneses,10/8/2024 11:41 AM,8/20/2026 7:16 AM,,Alfonso Undurraga Bordeu,Florencia Santa Cruz
BHP11,Taller Project Services 2,BHP,Minería,Gestión del cambio,"[""Juan Diego Covarrubias"",""Alfonso Undurraga"",""Alejandra Soto"",""Alejandra Loyola""]","[""Eneagrama""]",Alejandra Escobar,G. Project Services,12/1/2018,27/12/2018,El objetivo fue realizar una sesión para fortalecer el liderazgo y empoderamiento del equipo de Project Services,/sites/Proyectos-TheHouse/Documentos compartidos/BHP/BHP11 - Taller Project Services 2,Josue Meneses,10/8/2024 11:41 AM,7/23/2026 6:51 AM,Alfonso Undurraga Bordeu,Alfonso Undurraga Bordeu,
BHP12,Roles y Empoderamiento del equipo Project Services,BHP,Minería,Desarrollo de equipo ejecutivo,"[""Tomás Tapia"",""Alejandra Loyola"",""Soledad Libedinsky"",""Isidora Navarro""]","[""Coaching"",""Desarrollo ejecutivo"",""Descriptor de cargo"",""Dinámica de equipo""]",Alejandro Escobar,Project Services Manager,12/8/2019,18/10/2019,Definición de los roles de Project Services y sesiones de coacing  individual y grupal par empoderar al equipo,/sites/Proyectos-TheHouse/Documentos compartidos/BHP/BHP12 - Roles y empoderamiento del equipo Project Services,Josue Meneses,10/8/2024 11:41 AM,7/23/2026 6:53 AM,,Alejandra Loyola Schmidt,
BHP13,Continuidad SGO,BHP,Minería,Sistema organizacional,"[""Alejandra Loyola"",""Alejandra Soto"",""Soledad Libedinsky"",""Isidora Navarro""]","[""Alineamiento ejecutivo"",""Comités"",""Diagnostico"",""Dinámica de equipo"",""Integración"",""Mapeo de stakeholders"",""Plan de comunicación""]",Mariela Ibacache,Principal Support SGO,11/9/2019,17/10/2019,"Taller para potenciar la integración entre la operación de Spence y el proyecto SGO, de cara a la puesta en marcha de la expansión de Spence a mediados 2020",/sites/Proyectos-TheHouse/Documentos compartidos/BHP/BHP13 - Continuidad SGO,Josue Meneses,10/8/2024 11:42 AM,8/20/2026 7:16 AM,,Alejandra Loyola Schmidt,Florencia Santa Cruz
CAP01,Eficiencia operacional y revisión del modelo de negocios,Capel,Consumo masivo,Eficiencia operacional,"[""Alejandra Loyola"",""José Miguel Sepúlveda"",""Loredanna Celleri"",""Enrique Bravo"",""Pablo González"",""Olivia Sanchez"",""Pablo Cruz"",""Vicente Loyola""]","[""Adyacencias"",""Propósito"",""Derco"",""Diagnostico"",""Alineamiento ejecutivo"",""Coaching"",""Definiciones estratégicas"",""Desarrollo ejecutivo"",""Eficiencia"",""Negocio base"",""Optimización de procesos"",""Plan de implementación"",""Posicionamiento estratégico""]",Claudio Barraza,Gerente General,12/3/2018,19/4/2019,Revisión del modelo de negocio. Definiciones estratégicas de propósito y prioridades estrategicas. Análisis de oportunidades de eficiencia y posterior definición de iniciativas con un respectivo roadmap de implementación,/sites/Proyectos-TheHouse/Documentos compartidos/Capel/CAP01 - Eficiencia operacional y modelo de negocios,Josue Meneses,10/8/2024 11:42 AM,7/23/2026 7:38 AM,,Jose Miguel Sepúlveda Donoso,
CEN01,Instalación Modelo Operativo en Centinela,Antofagasta Minerals,Minería,Gestión del cambio,"[""Nicolás Díaz"",""Pablo González"",""Juan Ignacio Castro"",""José Miguel Sepúlveda"",""Daniel Coelho"",""Alfonso Undurraga""]","[""Capacitación"",""Ciclo de gobierno"",""Cultura organizacional"",""Comités"",""Diagnostico"",""Estructura"",""Levantamiento de agenda"",""KPIs"",""Mapeo de stakeholders"",""Modelo operativo"",""Plan de gestión del cambio"",""Quick wins"",""Seguimiento""]",José Luis Flores Coopman,PMO Minera Centinela,23/4/2018,22/6/2018,"Implementación de un plan de gestión del cambio para habilitar la instalación del nuevo Modelo Operativo de la minera Centinela, a través de sus cuatro pilares: foros, KPIs, Capacidades y roles, y transformación cultural",/sites/Proyectos-TheHouse/Documentos compartidos/Antofagasta Minerals/CEN01 - Instalación MO,Josue Meneses,10/8/2024 11:42 AM,7/22/2026 2:04 PM,,,Florencia Santa Cruz
CENCO01,Estructura y gobernanza para Gerencia Corporativa de RRHH Chile,Cencosud,Retail,Sistema organizacional,"[""José Miguel Sepúlveda"",""Alejandra Loyola"",""Pablo González"",""Nicolás Díaz"",""Juan Ignacio Castro"",""Catalina Iacobelli""]","[""Alineamiento ejecutivo"",""Estructura"",""Modelo de talento"",""Benchmark"",""Derco"",""Definiciones estratégicas"",""Descriptor de cargo"",""Mapeo de procesos"",""Plan de comunicación""]",Eulogio Guzmán,Gerente Corporativo RRHH,20/4/2021,26/5/2021,Diseñar una estructura organizacional para la Gerencia de RRHH de Cencosud Chile que se alinee a la estrategia del negocio y sea un factor de cambio para el negocio,/sites/Proyectos-TheHouse/Documentos compartidos/Cencosud/CENCO01 - Estructura y gobierno RRHH CENCO CL,Josue Meneses,10/8/2024 11:42 AM,8/9/2026 3:39 PM,,Jose Miguel Sepúlveda Donoso,Joaquín López
CENCO02,Diseño a detalle de estructura de áreas especialistas de la Gerencia de Personas Cencosud Chile,Cencosud,Retail,Sistema organizacional,"[""Catalina Iacobelli"",""Alejandra Loyola"",""Mariana Hernández"",""Vicente Olavarría""]","[""Alineamiento ejecutivo"",""Benchmark"",""Dinámica de equipo"",""Asuntos corporativos"",""Mapeo de procesos"",""Cultura organizacional"",""Desarrollo de carrera"",""Descriptor de cargo"",""Equipos de alto desempeño"",""Estructura"",""Integración"",""Modelo corporativo"",""Poblamiento de la estructura""]",Carolina Weldt,Gerente Talento y Cultura,9/9/2021,1/10/2021,"Se diseño a detalle la estructura de áreas especialistas de la Gerencia de Personas Cencosud Chile, trabajando con cada área y diseñando dos alternativas de estructura, una de corto plazo y una de largo plazo.",/sites/Proyectos-TheHouse/Documentos compartidos/Cencosud/CENCO02 - Diseño a detalle de estructuras especialistas,Josue Meneses,10/8/2024 11:42 AM,7/23/2026 7:49 AM,,Mariana  Hernandez Eyquem,
CMPC01,,,Recursos naturales,Mixto,,,,,,,,/sites/Proyectos-TheHouse/Documentos compartidos/CMPC/CMPC01 - Habilitando la Nueva Organización de Bosques,Josue Meneses,10/8/2024 11:42 AM,5/7/2026 6:19 AM,,,
CMPC02,Modelo operativo Security,CMPC,Recursos naturales,Eficiencia operacional,"[""Andrés Justiniano"",""Alejandra Loyola"",""Joaquín Moncada"",""Gastón Iver"",""Christian Uauy"",""Juan Pablo Vega""]","[""Alineamiento ejecutivo"",""Equipos de alto desempeño"",""Caso de negocio"",""Comités"",""Definiciones estratégicas"",""Descriptor de cargo"",""Plan de comunicación"",""Plan de implementación"",""Eficiencia"",""Estructura"",""KPIs"",""Liderazgo"",""Mapeo de procesos"",""Mejores practicas"",""Modelo operativo""]",Rafael Cox,Fiscal CMPC,10/18/2022,1/4/2022,"Se diseñó el modelo operativo para la Gerencia de Seguridad de CMPC, una gerencia recientemente creada que tiene por objetivo responder a los problemas de seguridad que Chile atraviesa y que impactan fuertemente en las operaciones de la compañía",/sites/Proyectos-TheHouse/Documentos compartidos/CMPC/CMPC02 - Modelo operativo security,Josue Meneses,10/8/2024 11:42 AM,8/9/2026 7:02 PM,,Juan Pablo Vega,Andres Justiniano
COL06,Estrategia Digital,Collahuasi,Minería,Estrategia,"[""Alejandra Soto"",""José Miguel Sepúlveda"",""Vicente Loyola"",""Nicolás Díaz"",""Olivia Sanchez""]","[""Focos estratégicos"",""Iniciativas estratégicas"",""Definiciones estratégicas"",""Modelo operativo"",""Planificación estratégica"",""Posicionamiento estratégico"",""Productividad"",""Socio estratégico""]",Leonardo Biaggini,Gerente de Riesgo y Control de Gestión,25/10/2018,15/11/2018,"Diseño de un taller estratégico para fines del 2018 de Collahuasi, con foco en la preparación para el crecimiento. Se diseñó un taller estructurado en: aprendizajes, desafíos y el ciclo de gestión del riesgo",/sites/Proyectos-TheHouse/Documentos compartidos/Collahuasi/COL06 - Estrategia digital,Josue Meneses,10/8/2024 11:42 AM,7/23/2026 3:41 PM,,Jose Miguel Sepúlveda Donoso,Sofía Figueroa
COL07,Definiciones estratégicas y estilo de liderazgo,Collahuasi,Minería,Estrategia,"[""Alejandra Soto"",""Alejandra Loyola"",""José Miguel Sepúlveda"",""Vicente Loyola"",""Benjamin Scarneo""]","[""Alineamiento ejecutivo"",""Definiciones estratégicas"",""Focos estratégicos""]",Jorge Gómez,Presidencia Ejecutiva,17/12/2018,14/1/2019,"Taller ejecutivo donde se revisaron los logros del 2018, se realizó una dinámica para interiorizar los desafíos del 2019 (focos estratégicos) y se presentaron los lineamientos para la transformación digital",/sites/Proyectos-TheHouse/Documentos compartidos/Collahuasi/COL07 - Definiciones estratégicas y estilo de liderazgo,Josue Meneses,10/8/2024 11:42 AM,7/23/2026 7:08 AM,,Jose Miguel Sepúlveda Donoso,
CPL01,Planificación estratégica,Cosmoplas,Retail,Estrategia,"[""Mariana Hernández"",""Pablo Guarda"",""Alejandra Loyola"",""Lisette Lee"",""Juan Diego Covarrubias"",""Pablo González"",""José Miguel Sepúlveda""]","[""Adyacencias"",""Caso de negocio"",""Comités"",""Alineamiento ejecutivo"",""Cultura organizacional"",""Derco"",""Iniciativas estratégicas"",""Negocio base"",""Benchmark"",""Diagnostico"",""Focos estratégicos"",""Definiciones estratégicas"",""Plan de implementación"",""Plan de negocio"",""Planificación estratégica"",""Seguimiento"",""Dinámica de equipo"",""Propósito"",""Posicionamiento estratégico"",""Roadmap""]",Claudio Venegas,Gerente de Supply Chain y Desarrollo,3/2/2020,6/2/2020,"A partir de un profundo análisis de mercado de los segmentos en los que participa Cosmoplas se definió el plan estratégico 2020 - 2025 para la organización, detallando la estrategia para 2020 - 2021, identificando propósito, visión, focos estratégicos, in",/sites/Proyectos-TheHouse/Documentos compartidos/Cosmoplas/CPL01 - Planificación estratégica Cosmoplas,Josue Meneses,10/8/2024 11:42 AM,7/23/2026 7:47 AM,,Mariana  Hernandez Eyquem,
